player_id,squad_id,squad_name,home_arena,role,preferred_loadout,matches_played,assists,season_score,tag_accuracy_pct,shield_uptime_pct,stamina_score,reflex_score,reaction_time_sec,energy_delta_pct,favorite_drink,preferred_channel,commute_mode,glow_rating,wellbeing_index,scout_notes
LT0001,SQ045,Hyper Hawks,astro alley,Scout,Stealth Rig,22,6,6710.7,63.5,13.2,84,75,0.264,20.6,Nebula Nectar,Arena App,Carpool,7.5,85.7,needs recalibration
LT0002,SQ045,Hyper Hawks,Astro Alley,Captain,Dual Pulse,7,5,2921.8,28.5,77.2,51,58,0.346,12.2,Quasar Quench,Squad Mentor,Hover Tram,1.2,64.1,
LT0003,SQ041,Neon Ninjas,Photon Forge,Captain,Support Pod,32,34,8553.8,58.6,60.7,81,73,0.311,6.2,Photon Fizz,Arena App,Hover Tram,9.9,77.3,late check-in
LT0004,SQ041,Neon Ninjas,Photon Forge,Sniper,Support Pod,10,23,7615.3,63.2,94.8,75,74,0.25,19.7,Photon Fizz,Beacon Screens,Transit,9.1,81.1,
LT0005,SQ045,Hyper Hawks,Nebula Nexus,Captain,Rail Blaster,6,16,4008.4,38.2,33.1,77,80,0.292,-1.7,Photon Fizz,SMS Alert,Carpool,3.0,70.2,
LT0006,SQ045,Hyper Hawks,ASTRO ALLEY,Engineer,Stealth Rig,7,35,6561.7,41.0,12.0,90,50,0.392,7.6,Nebula Nectar,Beacon Screens,E-scooter,6.5,84.1,follow-up for interview
LT0007,SQ041,Neon Ninjas,Nova Spire,Engineer,,39,21,6215.7,27.5,24.2,87,64,0.336,17.2,Star Seltzer,HoloCom,Carpool,6.3,87.0,pair with rookie
LT0008,sq040,Gamma Guild,Nebula Nexus,Engineer,Support Pod,11,34,6824.0,39.0,85.9,71,45,0.391,10.2,,Beacon Screens,Carpool,7.5,74.7,prefers stealth mode
LT0009,sq041,Neon Ninjas,Nebula Nexus,Scout,Support Pod,25,5,5567.5,47.5,21.3,84,48,0.377,9.5,Star Seltzer,HoloCom,Carpool,5.4,81.6,prefers stealth mode
LT0010,SQ040,Gamma Guild,Nova Spire,Engineer,Support Pod,12,3,4346.2,61.6,40.8,92,94,0.275,5.8,Star Seltzer,Beacon Screens,E-scooter,3.9,83.7,
LT0011,SQ040,Gamma Guild,Photon forge,Engineer,Dual Pulse,23,7,4600.8,34.2,79.7,70,43,0.409,-3.5,Star Seltzer,Beacon Screens,Hover Tram,4.2,70.2,
LT0012,SQ040,Gamma Guild,Astro Alley,Sniper,Stealth Rig,37,17,8703.1,65.9,25.5,51,67,0.267,17.0,Star Seltzer,SMS Alert,Hover Tram,10.0,66.7,late check-in
LT0013,SQ040,Gamma Guild,Astro Alley,Strategist,Dual Pulse,25,24,6740.8,53.6,15.3,66,58,0.358,7.5,,HoloCom,Walk,7.3,69.8,needs recalibration
LT0014,SQ010,Quantum Queens,Astro Alley,Captain,,19,18,5117.3,26.2,47.6,84,75,0.282,0.9,Photon Fizz,Squad Mentor,Transit,5.7,75.5,pair with rookie
LT0015,SQ010,Quantum Queens,Photon Forge,Sniper,Rail Blaster,9,25,3596.0,23.2,45.0,70,75,0.233,22.7,Nebula Nectar,Squad Mentor,Carpool,2.5,78.0,late check-in
LT0016,SQ010,Quantum Queens,photon Forge,Sniper,Support Pod,45,25,5352.2,30.7,16.6,81,95,0.175,-0.8,Photon Fizz,Arena App,Hover Tram,4.5,72.4,follow-up for interview
LT0017,sq045,Hyper Hawks,Photon Forge,Strategist,Dual Pulse,25,5,5780.5,52.8,91.5,61,66,0.314,9.3,Photon Fizz,Arena App,Hover Tram,6.2,67.1,pair with rookie
LT0018,SQ045,Hyper Hawks,Nova Spire,Scout,,7,22,6369.6,66.0,79.7,65,55,0.335,5.2,Nebula Nectar,HoloCom,Hover Tram,6.5,68.5,prefers stealth mode
