player_id,squad_id,squad_name,home_arena,role,preferred_loadout,matches_played,assists,season_score,tag_accuracy_pct,shield_uptime_pct,stamina_score,reflex_score,reaction_time_sec,energy_delta_pct,favorite_drink,preferred_channel,commute_mode,glow_rating,wellbeing_index,scout_notes
LT0001,SQ045,Hyper Hawks,astro alley,Scout,Stealth Rig,22,6,8869.0,63.5,13.2,84,75,0.25,20.6,Nebula Nectar,Arena App,Carpool,9.0,69.4,needs recalibration
LT0002,SQ045,Hyper Hawks,Astro Alley,Captain,Dual Pulse,7,5,7465.0,28.5,77.2,51,58,0.423,12.2,Quasar Quench,Squad Mentor,Hover Tram,5.0,69.8,
LT0003,SQ041,Neon Ninjas,Photon Forge,Captain,Support Pod,32,34,7229.0,58.6,60.7,81,73,0.351,6.2,Photon Fizz,Arena App,Hover Tram,8.0,83.3,late check-in
LT0004,SQ041,Neon Ninjas,Photon Forge,Sniper,Support Pod,10,23,2105.0,63.2,94.8,75,74,0.3,19.7,Photon Fizz,Beacon Screens,Transit,,78.4,
LT0005,SQ045,Hyper Hawks,Nebula Nexus,Captain,Rail Blaster,6,16,8544.0,38.2,33.1,77,80,0.276,-1.7,Photon Fizz,SMS Alert,Carpool,2.0,58.6,
LT0006,SQ045,Hyper Hawks,ASTRO ALLEY,Engineer,Stealth Rig,7,35,4742.0,41.0,12.0,90,50,0.415,7.6,Nebula Nectar,Beacon Screens,E-scooter,2.0,90.5,follow-up for interview
LT0007,SQ041,Neon Ninjas,Nova Spire,Engineer,,39,21,6236.0,27.5,24.2,87,64,0.28,17.2,Star Seltzer,HoloCom,Carpool,8.0,92.5,pair with rookie
LT0008,sq040,Gamma Guild,Nebula Nexus,Engineer,Support Pod,11,34,7950.0,39.0,85.9,71,45,0.232,10.2,,Beacon Screens,Carpool,7.0,56.9,prefers stealth mode
LT0009,sq041,Neon Ninjas,Nebula Nexus,Scout,Support Pod,25,5,4794.0,47.5,21.3,84,48,0.386,9.5,Star Seltzer,HoloCom,Carpool,10.0,92.3,prefers stealth mode
LT0010,SQ040,Gamma Guild,Nova Spire,Engineer,Support Pod,12,3,4954.0,61.6,40.8,92,94,0.276,5.8,Star Seltzer,Beacon Screens,E-scooter,3.0,71.4,
LT0011,SQ040,Gamma Guild,Photon forge,Engineer,Dual Pulse,23,7,9440.0,34.2,79.7,70,43,0.433,-3.5,Star Seltzer,Beacon Screens,Hover Tram,8.0,79.7,
LT0012,SQ040,Gamma Guild,Astro Alley,Sniper,Stealth Rig,37,17,4762.0,65.9,25.5,51,67,0.348,17.0,Star Seltzer,SMS Alert,Hover Tram,8.0,97.9,late check-in
LT0013,SQ040,Gamma Guild,Astro Alley,Strategist,Dual Pulse,25,24,3864.0,53.6,15.3,66,58,0.2,7.5,,HoloCom,Walk,1.0,76.4,needs recalibration
LT0014,SQ010,Quantum Queens,Astro Alley,Captain,,19,18,6323.0,26.2,47.6,84,75,0.234,0.9,Photon Fizz,Squad Mentor,Transit,,59.8,pair with rookie
LT0015,SQ010,Quantum Queens,Photon Forge,Sniper,Rail Blaster,9,25,,23.2,45.0,70,75,0.159,22.7,Nebula Nectar,Squad Mentor,Carpool,3.0,68.1,late check-in
LT0016,SQ010,Quantum Queens,photon Forge,Sniper,Support Pod,45,25,6591.0,30.7,16.6,81,95,0.163,-0.8,Photon Fizz,Arena App,Hover Tram,8.0,94.8,follow-up for interview
LT0017,sq045,Hyper Hawks,Photon Forge,Strategist,Dual Pulse,25,5,8393.0,52.8,91.5,61,66,0.188,9.3,Photon Fizz,Arena App,Hover Tram,6.0,56.4,pair with rookie
LT0018,SQ045,Hyper Hawks,Nova Spire,Scout,,7,22,,66.0,79.7,65,55,0.385,5.2,Nebula Nectar,HoloCom,Hover Tram,5.0,69.1,prefers stealth mode
LT0019,SQ041,Neon Ninjas,Nebula Nexus,Sniper,,5,34,4156.0,64.1,93.0,85,63,0.261,-1.1,Star Seltzer,HoloCom,Walk,5.0,70.0,needs recalibration
LT0020,SQ019,Solar Sparks,Nebula Nexus,Strategist,,33,6,8008.0,49.4,73.4,62,65,0.34,-2.9,Nebula Nectar,Beacon Screens,Transit,8.0,67.2,
LT0021,SQ010,Quantum Queens,Nebula Nexus,Engineer,,11,8,7852.0,49.8,33.0,54,63,0.167,2.6,Nebula Nectar,Beacon Screens,Transit,2.0,81.7,follow-up for interview
LT0022,SQ041,Neon Ninjas,Astro Alley,Captain,Rail Blaster,5,5,8871.0,27.2,18.6,99,68,0.401,19.5,Quasar Quench,Arena App,E-scooter,7.0,55.0,needs recalibration
LT0023,SQ041,Neon Ninjas,Nova Spire,Sniper,Stealth Rig,24,4,9157.0,23.1,77.3,75,57,0.321,14.1,Water,Arena App,Carpool,5.0,80.7,late check-in
LT0024,SQ010,Quantum Queens,Nova Spire,Sniper,,7,27,2537.0,61.8,78.1,59,50,0.35,11.5,Photon Fizz,Squad Mentor,Walk,4.0,72.2,pair with rookie
LT0025,sq010,Quantum Queens,Photon Forge,Captain,,39,19,7745.0,23.4,67.4,59,94,0.343,-2.0,Photon Fizz,Squad Mentor,Transit,10.0,71.5,pair with rookie
LT0026,SQ010,Quantum Queens,Nebula Nexus,Strategist,Shield Drone,28,32,5447.0,54.5,34.1,61,74,0.309,14.8,Water,HoloCom,Hover Tram,10.0,81.0,follow-up for interview
