event_id,squad_code,program_name,mentor,training_hours,bonus_tokens,event_date,event_location,satisfaction_rating
EVT0001,squad-004,Night Siege,Mentor Halo,1.1,313.9,2025-08-20,Arena Alpha,2
EVT0002,sq007,Nebula Workshop,Guide Nova,5.8,292.6,2025-08-12,Dock Lab,2
EVT0003,squad-010,Nebula Workshop,Captain Pulse,1.5,70.32,2025-05-26,Sky Deck,1
EVT0004,squad-013,night siege,Mentor Halo,1.0,211.15,2025-05-14,Dock Lab,3
EVT0005,SQ016,Solar Circuit,Captain Pulse,3.1,353.59,2025-07-17,City Annex,1
EVT0006,SQ019,Night Siege,Coach Ion,2.4,259.04,2025-07-27,Arena Alpha,4
EVT0007,sq022,Quantum Relay,Coach Ion,4.8,285.91,2025-05-21,Dock Lab,5
EVT0008,squad-025,Solar Circuit,Guide Nova,1.8,365.15,2025-08-04,Arena Alpha,2
EVT0009,SQ028,Night Siege,Guide Nova,5.3,217.52,2025-05-29,Dock Lab,3
EVT0010,sq031,Nebula Workshop,Captain Pulse,2.0,215.93,2025-05-28,City Annex,4
EVT0011,SQ034,Nebula Workshop,Captain Pulse,4.9,262.89,2025-07-13,Arena Alpha,3
EVT0012,squad-037,Quantum Relay,Mentor Halo,3.3,107.56,2025-08-05,Sky Deck,1
EVT0013,squad-040,Phantom Trials,Guide Nova,1.2,383.42,2025-06-19,Arena Alpha,2
EVT0014,sq043,Solar Circuit,Captain Pulse,2.5,191.36,2025-08-27,Arena Alpha,2
EVT0015,SQ046,Night Siege,Captain Pulse,2.2,246.26,2025-06-08,City Annex,2
EVT0016,sq049,Phantom Trials,Guide Nova,1.4,250.18,2025-06-30,Arena Alpha,3
EVT0017,squad-052,Night Siege,Guide Nova,3.4,221.57,2025-07-03,Sky Deck,4
EVT0018,squad-055,Nebula Workshop,Mentor Halo,2.1,300.04,2025-06-18,City Annex,1
EVT0019,squad-058,Solar Circuit,Mentor Halo,3.3,334.74,2025-08-03,Arena Alpha,4
EVT0020,SQ061,Night Siege,Mentor Halo,3.3,192.02,2025-05-25,Dock Lab,2
EVT0021,SQ064,Quantum Relay,Captain Pulse,4.3,207.58,2025-07-03,Dock Lab,1
EVT0022,squad-067,Quantum Relay,Coach Ion,5.9,181.67,2025-08-18,City Annex,5
EVT0023,SQ070,Night Siege,Guide Nova,5.3,290.81,2025-08-12,City Annex,4
EVT0024,SQ073,Solar Circuit,Mentor Halo,1.1,169.89,2025-07-18,Dock Lab,4
EVT0025,sq076,Phantom Trials,Coach Ion,4.6,353.15,2025-08-13,Arena Alpha,3
EVT0026,SQ079,Night Siege,Guide Nova,2.5,394.39,2025-07-26,Sky Deck,4
EVT0027,sq082,night siege,Guide Nova,5.9,137.81,2025-08-27,Sky Deck,1
EVT0028,squad-085,Night Siege,Captain Pulse,2.2,121.45,2025-08-18,Dock Lab,2
EVT0029,squad-088,Quantum Relay,Guide Nova,3.1,268.68,2025-07-30,Sky Deck,5
EVT0030,sq001,Night Siege,Guide Nova,5.5,96.18,2025-08-02,Arena Alpha,2
EVT0031,squad-004,Night Siege,Coach Ion,1.1,336.61,2025-08-19,,1
EVT0032,squad-007,nebula workshop,Captain Pulse,1.6,145.04,2025-05-29,Arena Alpha,3
EVT0033,sq010,Quantum Relay,Captain Pulse,4.5,103.05,2025-06-19,,3
EVT0034,SQ013,Night Siege,Guide Nova,1.6,175.28,2025-05-07,Sky Deck,4
EVT0035,sq016,Night Siege,Guide Nova,3.0,373.75,2025-06-13,City Annex,2
EVT0036,SQ019,Night Siege,Captain Pulse,4.3,334.06,2025-07-21,,2
EVT0037,SQ022,Solar Circuit,Guide Nova,1.9,368.82,2025-07-20,Arena Alpha,1
EVT0038,SQ025,Solar Circuit,Captain Pulse,4.3,62.15,2025-05-06,Arena Alpha,4
EVT0039,squad-028,Quantum Relay,Coach Ion,5.8,56.51,2025-05-18,Arena Alpha,4
EVT0040,sq031,Night Siege,Guide Nova,5.5,124.51,2025-05-18,City Annex,3
EVT0041,sq034,Nebula Workshop,Captain Pulse,4.2,372.44,2025-08-10,Sky Deck,5
EVT0042,squad-037,Phantom Trials,Mentor Halo,2.3,91.27,2025-07-04,Dock Lab,5
EVT0043,squad-040,Solar Circuit,Captain Pulse,4.1,267.56,2025-05-03,City Annex,3
EVT0044,sq043,Phantom Trials,Mentor Halo,5.6,227.62,2025-05-19,City Annex,1
EVT0045,SQ046,Nebula Workshop,Captain Pulse,4.5,97.75,2025-06-06,Arena Alpha,1
EVT0046,squad-049,Nebula Workshop,Captain Pulse,4.7,139.96,2025-06-10,Arena Alpha,2
EVT0047,sq052,Quantum Relay,Coach Ion,5.3,303.71,2025-08-17,Dock Lab,4
EVT0048,SQ055,Quantum Relay,Coach Ion,3.4,169.98,2025-05-19,Arena Alpha,3
EVT0049,SQ058,Nebula Workshop,Mentor Halo,4.8,359.39,2025-07-12,Dock Lab,2
EVT0050,SQ061,Quantum Relay,Captain Pulse,1.5,98.4,2025-06-03,City Annex,1
EVT0051,squad-064,Quantum Relay,Coach Ion,3.2,168.63,2025-05-27,Arena Alpha,1
EVT0052,sq067,nebula workshop,Mentor Halo,4.0,366.24,2025-06-29,Sky Deck,3
EVT0053,squad-070,Night Siege,Coach Ion,4.5,89.07,2025-06-02,Arena Alpha,5
EVT0054,squad-073,Phantom Trials,Mentor Halo,1.1,58.07,2025-08-16,City Annex,1
EVT0055,SQ076,Quantum Relay,Mentor Halo,4.2,56.99,2025-08-26,,3
EVT0056,SQ079,solar circuit,Captain Pulse,3.8,120.1,2025-07-05,Arena Alpha,3
EVT0057,SQ082,Solar Circuit,Captain Pulse,2.8,331.53,2025-07-23,City Annex,5
EVT0058,squad-085,nebula workshop,Captain Pulse,2.1,254.03,2025-06-30,Arena Alpha,4
EVT0059,sq088,Solar Circuit,Mentor Halo,4.4,171.21,2025-06-06,Dock Lab,2
EVT0060,squad-001,Solar Circuit,Captain Pulse,1.8,266.88,2025-08-18,,2
EVT0061,SQ004,Phantom Trials,Guide Nova,4.9,76.1,2025-08-05,Dock Lab,3
EVT0062,SQ007,solar circuit,Captain Pulse,1.7,195.99,2025-08-09,Dock Lab,4
EVT0063,squad-010,Solar Circuit,Captain Pulse,2.9,96.89,2025-05-03,City Annex,2
EVT0064,sq013,nebula workshop,Captain Pulse,2.7,296.73,2025-06-16,Sky Deck,3
EVT0065,sq016,night siege,Captain Pulse,3.4,372.81,2025-05-03,Arena Alpha,4
EVT0066,sq019,Phantom Trials,Guide Nova,4.1,160.9,2025-05-20,Sky Deck,2
EVT0067,sq022,night siege,Captain Pulse,4.5,306.88,2025-05-13,,3
EVT0068,squad-025,Quantum Relay,Guide Nova,4.7,177.18,2025-06-20,Arena Alpha,2
EVT0069,squad-028,Nebula Workshop,Mentor Halo,3.5,56.18,2025-07-21,City Annex,3
EVT0070,squad-031,Solar Circuit,Coach Ion,2.3,137.69,2025-07-20,Sky Deck,4
EVT0071,squad-034,Phantom Trials,Mentor Halo,4.5,108.72,2025-07-14,Arena Alpha,5
EVT0072,SQ037,Nebula Workshop,Coach Ion,4.4,152.45,2025-06-13,City Annex,5
EVT0073,sq040,Night Siege,Mentor Halo,5.2,383.35,2025-08-13,City Annex,1
EVT0074,squad-043,Solar Circuit,Guide Nova,2.2,231.4,2025-07-21,Dock Lab,1
EVT0075,SQ046,night siege,Captain Pulse,2.0,143.28,2025-08-16,City Annex,4
